sample-id	lake	continent
ERR1535953	Great Lakes	North America
ERR1535957	Great Lakes	North America
ERR1535960	Great Lakes	North America
ERR1535961	Great Lakes	North America
ERR1535962	Great Lakes	North America
ERR1535968	Great Lakes	North America
ERR1535976	Great Lakes	North America
ERR1535977	Great Lakes	North America
ERR1896636	Stechlin Lake	Europe
ERR1896653	Stechlin Lake	Europe
ERR1896667	Stechlin Lake	Europe
ERR1896681	Stechlin Lake	Europe
ERR1896688	Stechlin Lake	Europe
ERR1896712	Stechlin Lake	Europe
ERR1896717	Stechlin Lake	Europe
ERR1896795	Stechlin Lake	Europe
ERR1896796	Tiefwaren Lake	Europe
ERR1896805	Tiefwaren Lake	Europe
ERR1896819	Tiefwaren Lake	Europe
ERR1896840	Tiefwaren Lake	Europe
ERR1896854	Tiefwaren Lake	Europe
ERR1896864	Tiefwaren Lake	Europe
ERR1896999	Tiefwaren Lake	Europe
ERR1897029	Tiefwaren Lake	Europe
